Angelov, Angel   (BUL)
Angelov, Stefan   (BUL)
Angelov, Yordan   (BUL)
Angerer, Nadine   (GER)
Angerer, Peter   (FRG)
Angerer, Tobias   (GER)
Angioni, Paolo   (ITA)
Angle, Kurt   (USA)
Anglesio, Giorgio   (ITA)
Angst, Heinrich   (SUI)
Angst, Max   (SUI)
Angulo,    (ESP)
Angyal, Éva   (HUN)
AnhTuan, Hoang   (VIE)
Anichebe, Victor   (NGR)
Anikeeva, Ekaterina   (RUS)
Anikin, Nikolay   (URS)
Anisimova, Natalya   (URS)
Anisimova, Tatyana   (URS)
Anisimova, Vera   (URS)
Anissina, Marina   (FRA)
Anitas, Herta   (ROM)
Anke, Hannelore   (GDR)
Anker, Erik   (NOR)
Anker, Johan   (NOR)
Ankerman, Jan   (NED)
Ankovic, Andrija   (YUG)
Annan, Alyson   (AUS)
Annen, Martin   (SUI)
Annison, Harold   (GBR)
Anno, Noriko   (JPN)
Annoni, Pietro   (ITA)
Anpilogov, Aleksandr   (URS)
Anquetil, Jacques   (FRA)
Anschütz-Thoms, Daniela   (GER)
Anselmi, Renato   (ITA)
Ansermet, Michel   (SUI)
Anspach, Henri   (BEL)
Anspach, Paul   (BEL)
Antal, Dana   (CAN)
Antal, Róbert   (HUN)
Antczak, Zdzislaw   (POL)
Anthony, Carmelo   (USA)
Anthony, Georges   (BEL)
Anthony, Michael   (GUY)
Anti, Michael   (USA)
Antibo, Salvatore   (ITA)
Antic, Joseph   (IND)
Antic, Sava   (YUG)
Antkiewicz, Aleksy   (POL)
Antonie, Peter   (AUS)
Antoniewicz, Michal   (POL)
Antoniska, Mariela   (ARG)
Antonius,    (INA)
Antonov, Yaroslav   (URS)
Antonova, Elena   (RUS)
Antonova, Olena   (UKR)
Antonova, Yelena   (URS)
Antonsson, Bertil   (SWE)
Antonsson, Hans   (SWE)
Antosiewicz, Edvard   (YUG)
Antropov, Oleg   (URS)
Antson, Ants   (URS)
Anttila, Kalle   (FIN)
Antyukh, Natalia   (RUS)
Anufriyev, Aleksandr   (URS)
Anwar, Saeed   (PAK)
Aochi, Seiji   (JPN)
Aoki, Mayumi   (JPN)
Aouita, Saïd   (MAR)
Apak, Esref   (TUR)
Apam, Onyekachi   (NGR)
Apanasenko, Dmitry   (URS)
Apel, Katrin   (GER)
Apeland, Knut   (NOR)
Apell, Armand   (FRA)
Aposteanu, Angelica   (ROM)
Apostol, Chira   (ROM)
Apostolov, Stoyan   (BUL)
Appel, Gabriele   (FRG)
Appeldoorn, Tessa   (NED)
Appelt, Ingo   (AUT)
Applegarth, Willie   (GBR)
Appleton, Lloyd   (USA)
Apps , Gillian   (CAN)
Aptsiauri, Vladimir   (URS)
Arabo, Claude   (FRA)
Arabolaza, Patricio   (ESP)
Arad, Yael   (ISR)
Aragon, Lorenzo   (CUB)
Aragon, Yovany   (CUB)
Arai, Masao   (JPN)
Arai, Nobuo   (JPN)
Arai, Shigeo   (JPN)
Arakawa, Shizuka   (JPN)
Arakida, Yuko   (JPN)
Aramnau, Andrei   (BLR)
Aranzubia,    (ESP)
Araou, René   (FRA)
Arapovic, Franjo   (CRO)
Aratsilov, Magomedkhan   (URS)
Araujo, Alexandra   (ITA)
Araujo, Marcio   (BRA)
Arba, Rodica   (ROM)
Arbos, Eduard   (ESP)
Arbós, Jaime   (ESP)
Arbós, Juan   (ESP)
Arbutina, Andelija   (YUG)
Arcain, Janeth   (BRA)
Arcega, Fernando   (ESP)
Archenoul,    (FRA)
Archer, Alexander   (GBR)
Archer, John   (GBR)
Archer, Simon   (GBR)
Archibald, David   (CAN)
Archibald, Ed   (CAN)
Archibald, Jeff   (NZL)
Arcidiacomo, Angelo   (ITA)
Arden, Daphne   (GBR)
Arena, Ermenegildo   (ITA)
Arencibia, Yordanis   (CUB)
Arend, Dieter   (GER)
Arendt, Gisela   (GER)
Arentz, Charles Acher   (NOR)
Arets, Paul   (BEL)
Argenton, Alessandro   (ITA)
Argo, Ed   (USA)
Arie, Mark   (USA)
Ariel, José   (CUB)
Arienti, Luigi   (ITA)
Arimori, Yuko   (JPN)
Aripgadjiev, Magomed   (BLR)
Arispe, Pedro   (URU)
Arkhipenko, Vasily   (URS)
Arkhipova, Anna   (RUS)
Arkhom, Chenglai   (THA)
Armano, Mario   (ITA)
Armasel, Dumitru   (ROM)
Armasescu, Mihaela   (ROM)
Armbrust, Barbara   (CAN)
Armitage, Heather   (GBR)
Armitage, Norman   (USA)
Armstead, Ray   (USA)
Armstrong, Aaron   (TRI)
Armstrong, Beatrice   (GBR)
Armstrong, Charles   (USA)
Armstrong, Debbie   (USA)
Armstrong, Duncan   (AUS)
Armstrong, Elizabeth   (USA)
Armstrong, Jenny   (AUS)
Armstrong, Joseph   (AUS)
Armstrong, Kristin   (USA)
Armstrong, Lance   (USA)
Armstrong, Tate   (USA)
Arnau, Javier   (ESP)
Arnau, Jordi   (ESP)
Arnautovic, Zlatan   (YUG)
Arndt, Horst   (FRG)
Arndt, Judith   (GER)
Arneberg, Tor Birger   (NOR)
Arnemann, Raul   (URS)
Arnette, Jay   (USA)
Arnheiter, Albert   (GER)
Arnold, Clemens   (GER)
Arnold, Donald   (CAN)
Arnold, Karl   (GER)
Arnold, Thomas   (GBR)
Arnold, Virginie   (FRA)
Arnout, Fernand   (FRA)
Aronsson, Ivar   (SWE)
Arrate, Mariano   (ESP)
Arremón, Juan   (URU)
Arrese, Jordi   (ESP)
Arri, Valerio   (ITA)
Arrieta, Jake   (USA)
Arrojo, Rolando   (CUB)
Arron, Christine   (FRA)
Arrondo, Ines   (ARG)
Arrue, Francisco   (CHI)
Arsamakov, Israil   (URS)
Arsenault, Samantha   (USA)
Arslanagic, Abaz   (YUG)
Artamonova, Yevgeniya   (RUS)
Artayev, Bakhtiyar   (KAZ)
Artemev, Alexander   (USA)
Arteshina, Olga   (RUS)
Arthur, John   (SAF)
Arthus, Henri   (FRA)
Artigas, Edouard   (FRA)
Artola, Juan   (ESP)
Artuc, Sedat   (TUR)
Artyomov, Vladimir   (URS)
Arvidsson, Pår   (SWE)
Arvidsson, Per Olof   (SWE)
Arwidson, Lars-Göran   (SWE)
Aryee, Bernard   (GHA)
Arzamaskov, Vladimir   (URS)
Arzhannikova, Lyudmila   (URS)
Arzhanov, Yevgeny   (URS)
Asaad, Said S   (QAT)
Asahara, Nobuharu   (JAP)
Asanidze, George   (GEO)
Asano, Kevin   (USA)
Asare, Isaac   (GHA)
Asati, Charles   (KEN)
Asatiani, Nugzar   (URS)
Asch, Peter   (USA)
Aschenbach, Hans-Georg   (GDR)
Aschenwald, Hansjörg   (AUT)
Aschwanden, Sergei   (SUI)
Ascuy, Feliberto   (CUB)
Asell, Marko   (FIN)
Asghar, Mudassar   (PAK)
Ashbrook, Temple   (USA)
Ashburner, Lesley   (USA)
Ashby, Glenn   (AUS)
Ashe, St. George   (GBR)
Ashenfelter, Horace   (USA)
Ashfaq, Mohammad   (PAK)
Ashford, Evelyn   (USA)
Ashley, Tom   (NZL)
Ashumova, Irada   (AZE)
Ashuraliyev, Ruslan   (URS)
Ashworth, Belinda   (AUS)
Ashworth, Gerald   (USA)
Ashworth, Jeanne   (USA)
Asikainen, Alpo   (FIN)
Asilian, Dimitra   (GRE)
Askola, Arvo   (FIN)
Aslam, Kurshid   (PAK)
Aslam, Muhammed   (BIN)
Aslanov, Fuad   (AZE)
Asloum, Brahim   (FRA)
Asmayev, Viktor   (URS)
Asmussen, Gunnar   (DEN)
Aspelin, Simon   (SWE)
Asph, Karl-Åke   (SWE)
Aspin, John   (GBR)
Asplund, Carl-Erik   (SWE)
Asrabyev, Anatoly   (URS)
Asserholt , Jenni   (SWE)
Astafei, Galina   (ROM)
Astakhova, Polina   (URS)
Astapkovich, Igor   (BLR)
Astapovsky, Vladimir   (URS)
Astbury, Andrew   (GBR)
Asther, Gunnar   (SWE)
Astley, Mark   (CAN)
Astor, John   (GBR)
Astrup, Heidi   (DEN)
Aszkielowiczówna-Wojnowa, Halina   (POL)
Atalay, Mahmut   (TUR)
Atan, Adil   (TUR)
Atanackovic, Aleksandar   (YUG)
Atavin, Vyacheslav   (URS)
Athanasopoulos, Sotirios   (GRE)
Atif, Manzur Hussain   (PAK)
Atik, Celal   (TUR)
Atiyeh, Joseph   (SYR)
Atkin, Charles   (GBR)
Atkins, Gillian   (GBR)
Atkinson, James   (USA)
Atkinson, Sidney   (SAF)
Atlason, Arnór   (ICE)
Atli, Ismet   (TUR)
Attersley, Robert   (CAN)
Attolico, Francesco   (ITA)
Attrill, Louis   (GBR)
Attrill, W T   (FRA)
Attwood, Paul   (GBR)
Atwood, Susan   (USA)
Atzori, Fernando   (ITA)
Auch, Susan   (CAN)
Aucoin, Adrian   (CAN)
Audina, Mia   (NED)
Audley, Gordon   (CAN)
Audu, Musa   (NGR)
Auer, Gerhard   (FRG)
Auer, Victor   (USA)
auf der Heide, Hermann   (GER)
Auffray, André   (FRA)
Aufles, Inger   (NOR)
Augmon, Stacy   (USA)
Augusta, Josef   (CZE)
Augusta, Patrik   (CZE)
Augustin, Ludovic   (HAI)
Augustus, Seimone   (USA)
Auhuber, Klaus   (FRG)
Aukland, Anders   (NOR)
Ault, Garnet   (CAN)
Aumoitte,    (FRA)
Aun, Rein   (URS)
Aunli, Berit   (NOR)
Aunli, Ove Robert   (NOR)
Aureggi, Aldo   (ITA)
Außersdorfer, Walter   (ITA)
Aust, Otto   (SWE)
Austin, Arthur   (USA)
Austin, Charles   (USA)
Austin, Michael   (USA)
