Oldenburg	Germany	159,218
Bibirevo	Russia	159,000
Khoroshevo-Mnevniki	Russia	159,000
Modena	Italy	158,886
Nijmegen	Netherlands	158,732
Grenoble	France	158,552
Cambridge	United Kingdom	158,434
Rzeszow	Poland	158,382
Doncaster	United Kingdom	158,141
Melitopol	Ukraine	158,000
Gol'yanovo	Russia	158,000
Admiralteisky	Russia	157,897
San Blas-Canillejas	Spain	157,367
Ussuriysk	Russia	157,068
Tiraspol	Moldova	157,000
Pecs	Hungary	156,649
Ruse	Bulgaria	156,238
