Year,Name,,Voted By,Inducted As,Votes,% of Ballots
1945,Fred Clarke\clarkfr01,1872-1960,Old Timers,Player,,
1945,Jimmy Collins\colliji01,1870-1943,Old Timers,Player,,
1945,Ed Delahanty\delahed01,1867-1903,Old Timers,Player,,
1945,Hugh Duffy\duffyhu01,1866-1954,Old Timers,Player,,
1945,Hughie Jennings\jennihu01,1869-1928,Old Timers,Player,,
1945,King Kelly\kellyki01,1857-1894,Old Timers,Player,,
1945,Jim O'Rourke\o'rouji01,1850-1919,Old Timers,Player,,
1945,Wilbert Robinson\robinwi01,1864-1934,Old Timers,Manager,,
1944,Kenesaw Landis\landike99,1866-1944,Old Timers,Pioneer/Executive,,
1942,Rogers Hornsby\hornsro01,1896-1963,BBWAA,Player,182.0,78.1%
1939,Cap Anson\ansonca01,1852-1922,Old Timers,Player,,
1939,Eddie Collins\collied01,1887-1951,BBWAA,Player,213.0,77.7%
1939,Charlie Comiskey\comisch01,1859-1931,Old Timers,Pioneer/Executive,,
1939,Candy Cummings\cummica01,1848-1924,Old Timers,Pioneer/Executive,,
1939,Buck Ewing\ewingbu01,1859-1906,Old Timers,Player,,
1939,Lou Gehrig\gehrilo01,1903-1941,Special Election,Player,,
1939,Willie Keeler\keelewi01,1872-1923,BBWAA,Player,207.0,75.5%
1939,Old Hoss Radbourn\radboch01,1854-1897,Old Timers,Player,,
1939,George Sisler\sislege01,1893-1973,BBWAA,Player,235.0,85.8%
1939,Al Spalding\spaldal01,1850-1915,Old Timers,Pioneer/Executive,,
1938,Pete Alexander\alexape01,1887-1950,BBWAA,Player,212.0,80.9%
1938,Alexander Cartwright\cartwal99,1820-1892,Centennial,Pioneer/Executive,,
1938,Henry Chadwick\chadwhe99,1824-1908,Centennial,Pioneer/Executive,,
1937,Morgan Bulkeley\bulkemo99,1837-1922,Centennial,Pioneer/Executive,,
1937,Ban Johnson\johnsba99,1865-1931,Centennial,Pioneer/Executive,,
1937,Nap Lajoie\lajoina01,1874-1959,BBWAA,Player,168.0,83.6%
1937,Connie Mack\mackco01,1862-1956,Centennial,Manager,,
1937,John McGraw\mcgrajo01,1873-1934,Veterans,Manager,,
1937,Tris Speaker\speaktr01,1888-1958,BBWAA,Player,165.0,82.1%
1937,George Wright\wrighge01,1847-1937,Centennial,Pioneer/Executive,,
1937,Cy Young\youngcy01,1867-1955,BBWAA,Player,153.0,76.1%
1936,Ty Cobb\cobbty01,1886-1961,BBWAA,Player,222.0,98.2%
1936,Walter Johnson\johnswa01,1887-1946,BBWAA,Player,189.0,83.6%
1936,Christy Mathewson\mathech01,1880-1925,BBWAA,Player,205.0,90.7%
1936,Babe Ruth\ruthba01,1895-1948,BBWAA,Player,215.0,95.1%
1936,Honus Wagner\wagneho01,1874-1955,BBWAA,Player,215.0,95.1%
